Property,Name,Value,Raw_value,Unit,Extracted_name,Specifier
Capacity,LiFePO4,154.6,154.6,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",
Capacity,LiMn2O4,133.6,133.6,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",discharge capacity
Capacity,Li4Ti5O12,170.5,"174.8 , 170.5 , 167.5 , 165.3 , 158.2 , 152.1 , 130.9 and 111.9",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",discharge capacities
Capacity,LiNi0.50Co0.20Mn0.30O2,202,"213 , 202 , 198 and 194",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.2', 'Mn': '0.3', 'O': '2.0'}]",capacities
Capacity,LiBC,200,200,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'B': '1.0', 'C': '1.0'}]",
Capacity,LiTi2(PO4)3,38.7,"68.8 , 48.6 , 38.7 , and 24.2",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '1.0', 'Ti': '2.0'}]",discharge capacities
Capacity,Li4Ti5O12,112.1,112.1,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",
Capacity,LiFePO4 ,130,130 and 40,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",discharge capacity
Capacity,Li7MnN4,300,300,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '7.0', 'Mn': '1.0', 'N': '4.0'}]",capacities
Capacity,Li3V2(PO4)3,197,197,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",theoretical capacity
Capacity,Li3V2(PO4)3,148,148,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",
Capacity,LiMn1.5Ni0.5O4,126,126,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '1.5', 'Ni': '0.5', 'O': '4.0'}]",discharge capacity
Capacity,FeF3-C / Li,210,130 to 210,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Fe': '1.0', 'F': '3.0'}, {'Li': '1.0'}]",discharge capacity
Capacity,"Li4Ti5O12 / LiPF6(EC,DMC) / LiFePO4",120,120,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}, {'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",specific capacity
Capacity,LiPS,720,720,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'P': '1.0', 'S': '1.0'}]",specific capacity
Capacity,Li3V2(PO4)3,138,and 138,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}]",
Capacity,LiCoO2,114.5,114.5 and 124.3,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",Discharge capacities
Capacity,LiNi0.6Co0.2Mn0.2O2,90,90,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.2', 'O': '2.0'}]",discharge capacities
Capacity,SnO2–Fe2O3–Li2O,1396.8,1396.8,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Sn': '1.0', 'O': '2.0'}]",discharge capacity
Capacity,LiFeSO4F,151,151,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'S': '1.0', 'O': '4.0', 'F': '1.0'}]",theoretical capacity
Capacity,Li1.2Ni0.13Co0.13Mn0.54O2,154.6,"167.1 , 170.3 , 181.3 and 154.6",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.2', 'Ni': '0.13', 'Co': '0.13', 'Mn': '0.54', 'O': '2.0'}]",discharge capacities
Capacity,Li2Fe1−xMnxSiO4 / C,110.5,"110.5 , 119.1 , 136.1 , 150.2 and 151.4",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Fe': '1-x', 'Mn': 'x', 'Si': '1.0', 'O': '4.0'}, {'C': '1.0'}]",
Capacity,LiFePO4,120,120,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",discharge capacity
Capacity,NiP2–Li,900,900,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Ni': '1.0', 'P': '2.0'}]",
Capacity,LiOH,1013,1013,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'O': '1.0', 'H': '1.0'}]",reversible capacity
Capacity,Li3V1.96La0.04(PO4)3 / C,160,∼ 160,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '1.96', 'La': '0.04'}, {'C': '1.0'}]",specific capacity
Capacity,LiFe0.5Mn0.5PO4 / C,149.1,"155.0 , 149.1 , 141.5 , 133.6 and 120.1",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '0.5', 'Mn': '0.5', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",reversible discharge capacities
Capacity,LiMn2O4,0.13,0.13,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",
Capacity,Li4Ti5O12,60,to 60,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",capacity
Capacity,LiMnPO4,105.2,105.2,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}]",
Capacity,Li2FeP2O7,59,and 59,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Fe': '1.0', 'P': '2.0', 'O': '7.0'}]",
Capacity,Li4Ti5O12 / Ag ,115.8,"182.3 , 162.8 , 152.4 , 135.4 , 126.1 and 115.8",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}, {'Ag': '1.0'}]",reversible capacity
Capacity,LiFePO4 / C-LaPO4,150.7,"150.7 , 142.3 , 116.6 and 80.3",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",discharge capacity
Capacity,LiNi1 / 3Co1 / 3Mn1 / 3O2,109.7,109.7,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",discharge capacity
Capacity,LiNi0.7Co0.3O2,162,162,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.7', 'Co': '0.3', 'O': '2.0'}]",discharge capacity
Capacity,LiCoO2,10,10,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",capacity
Capacity,LiFePO4 / C ,84,"140 , 123 , 104 and 84",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",discharge capacities
Capacity,Li2O2,1000,to 1000,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'O': '2.0'}]",
Capacity,Li3VO4-RAW,225,225,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '3.0', 'V': '1.0', 'O': '4.0'}]",charge capacities
Capacity,Li2CuSn,294,294,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Cu': '1.0', 'Sn': '1.0'}]",theoretical capacity
Capacity,Li4Ti5O12,226,to 226,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",discharge capacity
Capacity,Li1.05Mn1.95O3.95,0.9,0.9,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.05', 'Mn': '1.95', 'O': '3.95'}]",capacities
Capacity,O2(Li),158,158,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'O': '2.0', 'Li': '1.0'}]",reversible capacities
Capacity,LiFePO4 ,120,120,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",capacity
Capacity,LiVOPO4 @ V2O5,157.9,"157.9 , 143 , 127.3 , and 110.6",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'V': '1.0', 'O': '5.0', 'P': '1.0'}, {'V': '2.0', 'O': '5.0'}]",capacity
Capacity,LiFePO4,140,140,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",capacity
Capacity,Li1.37Co0.4N / Li1.10Mn1.90O4,400,400,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.37', 'Co': '0.4', 'N': '1.0'}, {'Li': '1.1', 'Mn': '1.9', 'O': '4.0'}]",capacity
Capacity,Li2O,1117,1117,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'O': '1.0'}]",
Capacity,LiAl0.05Ni0.05Mn1.9O4,110,and 110,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Al': '0.05', 'Ni': '0.05', 'Mn': '1.9', 'O': '4.0'}]",discharge capacities
Capacity,LiMn2O4,118,118,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",capacity
Capacity,LiC6,372,372,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'C': '6.0'}]",specific capacity
Capacity,LiMn0.9Fe0.05Mg0.05PO4 / C ,116,116,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '0.9', 'Fe': '0.05', 'Mg': '0.05', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",
Capacity,LiNi1 / 3Co1 / 3Mn1 / 3O2,160,160 to 200,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",capacity
Capacity,LiFePO4,136,136,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",
Capacity,LiFePO4,126,126 and 88,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",specific capacity
Capacity,Li2MnO3,158,184 and 158,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Mn': '1.0', 'O': '3.0'}]",capacities
Capacity,Li4Ti5O12,320,"744 , 175 and 320",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",specific capacities
Capacity,LixMn1.5Ni0.5O4,20,20,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': 'x', 'Mn': '1.5', 'Ni': '0.5', 'O': '4.0'}]",
Capacity,LiFePO4,40,40,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",discharge capacity
Capacity,LiFePO4 / graphene-battery,163,165  E163,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",
Capacity,Li2S,183,to 183,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'S': '1.0'}]",
Capacity,LiNi1 / 3Co1 / 3Mn1 / 3O2,120,120,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",
Capacity,LiFePO4,120,∼ 120,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",capacity
Capacity,LiCoO2,97,∼ 97,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",capacity
Capacity,LiCoO2,132,120 to 132,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",specific capacity
Capacity,Li1.17Ni0.25Mn1.08O3 ,180,180,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.17', 'Ni': '0.25', 'Mn': '1.08', 'O': '3.0'}]",
Capacity,LiMnPO4 / C,104.2,"112.7 , 109.1 , 104.2 , 94.5 , 73.1 , and 42",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",discharge capacities
Capacity,LiV3O8 ,320,320,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",discharge capacity
Capacity,LiNi0.02Fe0.95PO4 / C,162.2,162.2,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.02', 'Fe': '0.95', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",
Capacity,LiCoO2,350,350,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",
Capacity,Li3V2(PO4)3 / C,133,133,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}, {'C': '1.0'}]",
Capacity,LiCoO2,179,"179 , 176 , 168 , 116 , and 96",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",reversible discharge capacity
Capacity,LiMn2O4,128,"128 , 125 , 118 , 109 , 98 and 83",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",
Capacity,Li[Li0.2Ni0.2Mn0.6]O2 ,270,270,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.2', 'Ni': '0.2', 'Mn': '0.6', 'O': '2.0'}]",discharge capacity
Capacity,Lithium-cobalt-oxide,160,> 160,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",capacities
Capacity,Li2O,100, E100,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'O': '1.0'}]",capacity
Capacity,Li2O,300,∼ 300,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'O': '1.0'}]",
Capacity,LiNi0.6Co0.2Mn0.1Al0.1O2,127.6,127.6,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.1', 'Al': '0.1', 'O': '2.0'}]",capacity
Capacity,Al-doped Li4Ti5O12,88,"85 , 101 and 88",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",discharge capacities
Capacity,LiOH,140,140,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'O': '1.0', 'H': '1.0'}]",
Capacity,Se / Li3PS4 / Li–Sn,611,"652 , 649 , 642 , 611 , 574 and 462",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Se': '1.0'}, {'Li': '3.0', 'P': '1.0', 'S': '4.0'}]",reversible capacities
Capacity,Li4Ti5O12 / LiFePO4,150,"160 , 150 , 125 , and 110",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}, {'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",discharge capacities
Capacity,LiC6,372,372,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'C': '6.0'}]",theoretical capacity
Capacity,LixCoO2,274,274,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': 'x', 'Co': '1.0', 'O': '2.0'}]",theoretical capacity
Capacity,LiCo0.8Al0.2O2,70,70,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '0.8', 'Al': '0.2', 'O': '2.0'}]",
Capacity,LiMn0.8Al0.1Cu0.1PO4,4,4,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '0.8', 'Al': '0.1', 'Cu': '0.1', 'P': '1.0', 'O': '4.0'}]",
Capacity,Li2ZnTi3O8 / La2O3,188.6,188.6 and 154.0,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Zn': '1.0', 'Ti': '3.0', 'O': '8.0'}, {'La': '2.0', 'O': '3.0'}]",discharge capacity
Capacity,Li1 + xAlxGe2 ∁Ex(PO4)3,118,"132 , 118 , 101 , and 72",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': 'x+1', 'Al': 'x', 'Ge': '2-x'}]",discharge capacities
Capacity,Li2.95Na0.05V2(PO4)3 / C ,173.1,187 and 173.1,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '2.95', 'Na': '0.05', 'V': '2.0'}, {'C': '1.0'}]",capacities
Capacity,LiMn2O4,200,200,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",reversible capacity
Capacity,LiFePO4,143,"145 , 150 , 155 , 143 , 136 and 91",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",discharge capacities
Capacity,Lithium titanate,107,"147 , 107 , and 93",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Ti': '1.0', 'O': '3.0'}]",capacity
Capacity,LiZr0.01Co0.99O2,190.5,"190.5 , 191.91 , and 194.95",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Zr': '0.01', 'Co': '0.99', 'O': '2.0'}]",discharge capacities
Capacity,Li2MnO3 ,207,207,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'Mn': '1.0', 'O': '3.0'}]",
Capacity,CoO / Li,300,300,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Co': '1.0', 'O': '1.0'}, {'Li': '1.0'}]",
Capacity,Li2CO3,103.9,"109.1 , 103.9 and 104.2",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '2.0', 'C': '1.0', 'O': '3.0'}]",discharge capacity
Capacity,Li[Ni1−x ∁EyCoxMny]O2,200,200,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '-x-y+1', 'Co': 'x', 'Mn': 'y', 'O': '2.0'}]",capacity
Capacity,LiNi0.5Mn1.5O4,114,114,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",
Capacity,Li4.4Sn,993,4200 and 993,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.4', 'Sn': '1.0'}]",capacities
Capacity,LiCo0.5Mn0.5O2,220,220 and 125,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '0.5', 'Mn': '0.5', 'O': '2.0'}]",charge and discharge capacities
Capacity,LiCoO2 ,142,142,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",theoretical capacity
Capacity,Lithium bis(oxalato)borate,110.2,110.2 and 111.5,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'C': '4.0', 'O': '8.0', 'Li': '1.0', 'B': '1.0'}]",capacity
Capacity,Li1.5BC2,1154,1154,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.5', 'B': '1.0', 'C': '2.0'}]",capacity
Capacity,LiNi1 / 3Co1 / 3Mn1 / 3O2,123,123,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",
Capacity,LiC6,372,372,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'C': '6.0'}]",
Capacity,Li3−xNaxV2(PO4)3 / C,47.7,47.7,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3-x', 'Na': 'x', 'V': '2.0'}, {'C': '1.0'}]",charge capacities
Capacity,Li / LiFePO4,148,148,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0'}, {'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",
Capacity,LiFe0.98Sm0.02PO4 / C,158.6,158.6,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '0.98', 'Sm': '0.02', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",discharge capacity
Capacity,Li5Cr7Ti6O25 at 5 C and 10 C,176,176 and 132,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '5.0', 'Cr': '7.0', 'Ti': '6.0', 'C': '1.0'}]",discharge capacities
Capacity,Li4.4Si,4200,4200,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.4', 'Si': '1.0'}]",capacity
Capacity,Li1.05Ni0.35Co0.25Mn0.4O2,164,164,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.05', 'Ni': '0.35', 'Co': '0.25', 'Mn': '0.4', 'O': '2.0'}]",discharge capacity
Capacity,Li3VO4,38.6,38.6,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '3.0', 'V': '1.0', 'O': '4.0'}]",discharge capacity
Capacity,Li3V2(PO4)3 / C,173.3,173.3,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}, {'C': '1.0'}]",
Capacity,Li4Ti4.95Nb0.05O12 ,115.7,115.7,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '4.95', 'Nb': '0.05', 'O': '12.0'}]",discharge capacity
Capacity,LiNi0.8Co0.2O2,140.1,139.7 and 140.1,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.8', 'Co': '0.2', 'O': '2.0'}]",discharge capacity
Capacity,Li4Ti5O12 ,134.2,134.2,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",reversible capacity
Capacity,Al2O3 / LixV2O5 / LiV3O8 ,161,161,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Al': '2.0', 'O': '3.0'}, {'Li': 'x', 'V': '2.0', 'O': '5.0'}, {'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",discharge capacity
Capacity,Li4Ti5O12,113.6,and 113.6,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",
Capacity,LiFePO4,146.7,146.7,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",discharge capacity
Capacity,LiMnPO4 / C,110.2,110.2,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",
Capacity,LiFePO4 / carbon nanowires,128,128,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",capacity
Capacity,Ti2Nb10O29 / Li,175,175,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Ti': '2.0', 'Nb': '10.0', 'O': '29.0'}, {'Li': '1.0'}]",theoretical capacity
Capacity,LiAlxCo1−xO2,139,"153 , 139 and 120",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Al': 'x', 'Co': '1-x', 'O': '2.0'}]",capacities
Capacity,LiNiO2,10,10  E20,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '1.0', 'O': '2.0'}]",
Capacity,LiFeBO3,190,190,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'B': '1.0', 'O': '3.0'}]",capacity
Capacity,Li[Ni0.6Co0.2Mn0.2]O2,360,360,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.6', 'Co': '0.2', 'Mn': '0.2', 'O': '2.0'}]",capacity
