Property,Name,Value,Raw_value,Unit,Extracted_name,Specifier
Capacity,LiMn2O4,110,∼ 110,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '2.0', 'O': '4.0'}]",
Capacity,Li4Mn5O12,163,163,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Mn': '5.0', 'O': '12.0'}]",theoretical capacity
Capacity,Lithium / maghemite,130,130,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0'}, {'Fe': '2.0', 'O': '3.0'}]",
Capacity,LiNixCoyO2,96,∼ 96,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': 'x', 'Co': 'y', 'O': '2.0'}]",
Capacity,Li15Si4,3579,3579,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '15.0', 'Si': '4.0'}]",
Capacity,LiMnO2,220,220,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Mn': '1.0', 'O': '2.0'}]",discharge capacity
Capacity,Li3VO4 / C electrodes,551,"175 , 430 , 551 and 537",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '3.0', 'V': '1.0', 'O': '4.0'}, {'C': '1.0'}]",reversible capacities
Capacity,LiFePO4 / C-LaPO4,135.1,"134.3 , 135.2 , 139.4 , 143.1 and 135.1",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",
Capacity,Li22Sn5,992,992,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '22.0', 'Sn': '5.0'}]",
Capacity,LiFe2P2O7 pyrophosphate,128.4,110.4 to 128.4,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Fe': '2.0', 'P': '2.0', 'O': '7.0'}]",specific capacity
Capacity,LiV3O8 electrode,300,200  E300,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'V': '3.0', 'O': '8.0'}]",specific capacity
Capacity,Li3V2(PO4)3 / C composite,115.7,115.7,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'P': '3.0', 'O': '12.0', 'Li': '3.0', 'V': '2.0'}, {'C': '1.0'}]",specific capacity
Capacity,Li3.85Al0.15Ti5O12,120.3,"154.4 , 133.6 and 120.3",Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '3.85', 'Al': '0.15', 'Ti': '5.0', 'O': '12.0'}]",
Capacity,Li4Ti5O12,157,157,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",discharge capacity
Capacity,Li(Ni0.5Co0.2Mn0.3)O2,169,169 and 163,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.2', 'Mn': '0.3', 'O': '2.0'}]",charge and discharge capacities
Capacity,LiNi1 / 3Co1 / 3Mn1 / 3O2,160,160,Gram^(-1.0)  Hour^(1.0)  MilliAmpere^(1.0),"[{'Li': '1.0', 'Ni': '0.3333', 'Co': '0.3333', 'Mn': '0.3333', 'O': '2.0'}]",
